項次,事業單位名稱（負責人姓名）,違反法令條款,違反法規內容,處分書文號,處分日期,備註
15,惠康百貨股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030050008號函,103年3月20日,　
16,太平洋汽門工業股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030051566號函,103年3月24日,　
17,上銀科技股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030053296號函,103年3月26日,　
18,居安泰保全股份有限公司,勞動基準法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1030054659號函,103年3月27日,　
18,居安泰保全股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030054659號函,103年3月27日,　
18,居安泰保全股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030054659號函,103年3月27日,　
19,仁愛醫療財團法人台中仁愛醫院,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030055111號函,103年3月27日,103年度醫療院所勞動條件專案檢查
20,東勢區農會附設農民醫院,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030056244號函,103年3月31日,103年度醫療院所勞動條件專案檢查
21,久連設計工程行,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030057236號函,103年4月2日,　
21,久連設計工程行,勞動基準法第23條第2項,未置備勞工工資清冊,府授勞動字第1030057236號函,103年4月2日,　
21,久連設計工程行,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030057236號函,103年4月2日,　
21,久連設計工程行,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030057236號函,103年4月2日,　
22,優宏機械廠有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030064507號函,103年4月14日,　
22,優宏機械廠有限公司,勞動基準法第30條,正常工作時間超過法令規定,府授勞動字第1030064507號函,103年4月14日,　
22,優宏機械廠有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030064507號函,103年4月14日,　
22,優宏機械廠有限公司,勞動基準法第70條第1項,僱用勞工30人以上未訂立工作規則,府授勞動字第1030064507號函,103年4月14日,　
23,陽光精神科醫院,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030065100號函,103年4月14日,103年度醫療院所勞動條件專案檢查
24,遠東百貨股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030065249號函,103年4月14日,　
24,遠東百貨股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030065249號函,103年4月14日,　
24,遠東百貨股份有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030065249號函,103年4月14日,　
24,遠東百貨股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030065249號函,103年4月14日,　
25,益利光電股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030064639號函,103年4月15日,　
26,久福興業股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030066492號函,103年4月15日,　
26,久福興業股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030066492號函,103年4月15日,　
26,久福興業股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030066492號函,103年4月15日,　
27,豐原汽車客運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030067420號函,103年4月15日,　
27,豐原汽車客運股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030067420號函,103年4月15日,　
28,嘉里大榮物流股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030066494號函,103年4月16日,　
28,嘉里大榮物流股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030066494號函,103年4月16日,　
29,台灣航空電子股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030069806號函,103年4月17日,　
30,環球皇家保全股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030072035號函,103年4月22日,　
30,環球皇家保全股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030072035號函,103年4月22日,　
30,環球皇家保全股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030072035號函,103年4月22日,　
30,環球皇家保全股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030072035號函,103年4月22日,　
31,勝騏食品工廠有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030072596號函,103年4月23日,　
31,勝騏食品工廠有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030072596號函,103年4月23日,　
31,勝騏食品工廠有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030072596號函,103年4月23日,　
32,全民醫院,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030073946號函,103年4月28日,103年度醫療院所勞動條件專案檢查
32,全民醫院,勞動基準法第70條第1項,僱用勞工30人以上未訂立工作規則,府授勞動字第1030073946號函,103年4月28日,103年度醫療院所勞動條件專案檢查
33,統一速達股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030076959號函,103年4月28日,　
