項次,事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
41,新竹物流股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020131863號,102年7月24日
42,加展有限公司,勞基法第7條,未保管勞工名卡至離職後五年,府授勞動字第1020132139號,102年7月24日
42,加展有限公司,勞基法第23條第2項,未置備勞工工資清冊,府授勞動字第1020132139號,102年7月24日
42,加展有限公司,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020132139號,102年7月24日
43,欣中環保企業股份有限公司,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020134592號,102年7月29日
43,欣中環保企業股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020134592號,102年7月29日
43,欣中環保企業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020134592號,102年7月29日
44,國瑋興業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020134602號,102年7月29日
45,蔡秀絹即水車餐廳,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020136988號,102年7月31日
46,忠陽保全股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020137749號,102年7月31日
46,忠陽保全股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020137749號,102年7月31日
46,忠陽保全股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020137749號,102年7月31日
46,忠陽保全股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020137749號,102年7月31日
47,萬安保全股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020138014號,102年7月31日
47,萬安保全股份有限公司,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020138014號,102年7月31日
47,萬安保全股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020138014號,102年7月31日
48,黎明工程顧問股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020138380號,102年7月31日
48,黎明工程顧問股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020138380號,102年7月31日
48,黎明工程顧問股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020138380號,102年7月31日
49,大和屋國際美食館有限公司,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020143527號,102年8月7日
49,大和屋國際美食館有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020143527號,102年8月7日
49,大和屋國際美食館有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020143527號,102年8月7日
50,玉佳龍餐具有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020145224號,102年8月7日
50,玉佳龍餐具有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020145224號,102年8月7日
50,玉佳龍餐具有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020145224號,102年8月7日
51,蔡記食品有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020143618號,102年8月7日
51,蔡記食品有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020143618號,102年8月7日
51,蔡記食品有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020143618號,102年8月7日
52,林姿均即亮利商行,勞基法第16條第3項,未依規定給付勞工預告期間知之工資,府授勞動字第1020143619號,102年8月7日
52,林姿均即亮利商行,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020143619號,102年8月7日
52,林姿均即亮利商行,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020143619號,102年8月7日
52,林姿均即亮利商行,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020143619號,102年8月7日
53,千翔保全股份有限公司,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020143629號,102年8月7日
54,龍億營造有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020147919號,102年8月13日
54,龍億營造有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020147919號,102年8月13日
54,龍億營造有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020147919號,102年8月13日
54,龍億營造有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020147919號,102年8月13日
55,怡佳保全股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020147959號,102年8月13日
56,總達客運股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020151284號,102年8月14日
56,總達客運股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020151284號,102年8月14日
56,總達客運股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020151284號,102年8月14日
57,李文騫即尚衡機械板金廠,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020142453號,102年8月15日
57,李文騫即尚衡機械板金廠,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020142453號,102年8月15日
57,李文騫即尚衡機械板金廠,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020142453號,102年8月15日
57,李文騫即尚衡機械板金廠,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020142453號,102年8月15日
57,李文騫即尚衡機械板金廠,勞基法第43條,勞工請假期間未依規定給付工資,府授勞動字第1020142453號,102年8月15日
58,周明義即臺中市私立中山幼兒園,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020151267號,102年8月15日
58,周明義即臺中市私立中山幼兒園,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020151267號,102年8月15日
58,周明義即臺中市私立中山幼兒園,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020151267號,102年8月15日
59,黃昭文即台中飯神魯肉世界,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020151500號,102年8月16日
59,黃昭文即台中飯神魯肉世界,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020151500號,102年8月16日
59,黃昭文即台中飯神魯肉世界,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020151500號,102年8月16日
60,勝騏食品工廠有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020151533號,102年8月16日
61,棉昌企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020156515號,102年8月23日
61,棉昌企業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020156515號,102年8月23日
61,棉昌企業有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020156515號,102年8月23日
61,棉昌企業有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020156515號,102年8月23日
62,泰大印刷股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020157343號,102年8月23日
62,泰大印刷股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020157343號,102年8月23日
62,泰大印刷股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020157343號,102年8月23日
63,志成通運有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020155197號,102年8月26日
64,愛爾蘭商速聯股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020158359號,102年8月27日
65,高旺螺絲工業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020161283號,102年8月29日
65,高旺螺絲工業有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020161283號,102年8月29日
65,高旺螺絲工業有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020161283號,102年8月29日
66,裕毛屋企業股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020158348號,102年8月30日
66,裕毛屋企業股份有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020158348號,102年8月30日
66,裕毛屋企業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020158348號,102年8月30日
